name;cloneof
gaunt22pg;gaunt2
gaunt2g;gaunt2
gauntlet2p;gauntlet
gauntlet2pg;gauntlet
gauntlet2pg1;gauntlet
gauntlet2pj;gauntlet
gauntlet2pj2;gauntlet
gauntlet2pr3;gauntlet
gauntletg;gauntlet
gauntletgr3;gauntlet
gauntletgr6;gauntlet
gauntletgr8;gauntlet
gauntletj;gauntlet
gauntletj12;gauntlet
gauntletr1;gauntlet
gauntletr2;gauntlet
gauntletr4;gauntlet
gauntletr5;gauntlet
gauntletr7;gauntlet
gauntletr9;gauntlet
gauntlets;gauntlet
gberetb;gberet
gblchmp;kaiserkn
gbustersa;gbusters
geebeeg;geebee
gekiridnj;gekiridn
geminib;gemini
gensitou;prehisle
geostorm;gunforc2
getstarb1;grdian
getstarb2;grdian
getstarj;grdian
gforce2j;gforce2
gforce2ja;gforce2
gforce2sd;gforce2
ghostb2a;ghostb
ghostb3;ghostb
ghostmun;puckman
ghoulsu;ghouls
ghoxj;ghox
gigaman2;megaman2
gigandesa;gigandes
gigasb;gigas
gigawinga;gigawing
gigawingb;gigawing
gigawingd;gigawing
gigawingh;gigawing
gigawingj;gigawing
gigawingjd;gigawing
gijoea;gijoe
gijoej;gijoe
gijoeu;gijoe
ginganina;ginganin
glocr360;gloc
glocu;gloc
gmahou;dimahoo
gnga;gng
gngbl;gng
gngbla;gng
gngblita;gng
gngc;gng
gngprot;gng
gngt;gng
gogold;recordbr
gogomileo;gogomile
goldmedla;goldmedl
goldmedlb;goldmedl
goldnaxe1;goldnaxe
goldnaxe1d;goldnaxe
goldnaxe2;goldnaxe
goldnaxe3;goldnaxe
goldnaxe3d;goldnaxe
goldnaxej;goldnaxe
goldnaxejd;goldnaxe
goldnaxeu;goldnaxe
goldnaxeud;goldnaxe
gorkans;mrtnt
gpilotsh;gpilots
gpriderj;gprider
gpriderjs;gprider
gpriders;gprider
gprideru;gprider
gpriderus;gprider
gradius;nemesis
gradius2;vulcan
gradius2a;vulcan
gradius2b;vulcan
gradius3a;gradius3
gradius3j;gradius3
gradius3js;gradius3
grdnstrmg;grdnstrm
grdnstrmj;grdnstrm
grdnstrmk;grdnstrm
grdnstrmv;grdnstrm
griffon;phoenix
grindstma;grindstm
grobda2;grobda
grobda3;grobda
growla;growl
growlu;growl
gryzor;contra
gryzor1;contra
gseekerj;gseeker
gseekeru;gseeker
gteikoku;uniwars
gteikokub;uniwars
gteikokub2;uniwars
gtmr2a;gtmr2
gtmr2u;gtmr2
gtmra;gtmr
gtmrb;gtmr
gtmre;gtmr
gtmro;gtmr
gtmrusa;gtmr
gulfstrma;gulfstrm
gulfstrmb;gulfstrm
gulfstrmk;gulfstrm
gulfstrmm;gulfstrm
gulfwar2a;gulfwar2
gunball;nitrobal
gunbirdj;gunbird
gunbirdk;gunbird
gundharac;gundhara
gunforcej;gunforce
gunforceu;gunforce
gunfrontj;gunfront
gunhohki;mysticri
gunsmokeb;gunsmoke
gunsmokej;gunsmoke
gunsmokeu;gunsmoke
gunsmokeua;gunsmoke
gunsmokeub;gunsmoke
gussun;riskchal
gutangtn;locomotn
guwanges;guwange
gwara;gwar
gwarb;gwar
gwarj;gwar
gyrodinet;gyrodine
gyrussb;gyruss
gyrussce;gyruss
hachamfb;hachamf
hal21j;hal21
halfway;progear
hangly;puckman
hangly2;puckman
hangly3;puckman
hangon1;hangon
hangon2;hangon
happy6101;happy6
hbarrelw;hbarrel
hcastlee;hcastle
hcastlek;hcastle
hcrashc;hcrash
hedpanica;hedpanic
hedpanicf;hedpanic
hellfire1;hellfire
hellfire1a;hellfire
hellfire2;hellfire
herbiedk;huncholy
herodk;hero
herodku;hero
hexionb;hexion
hexpool;racknrol
hexpoola;racknrol
hharryu;hharry
hipoly;trackfld
hishouza;fshark
hiticej;hitice
hncholms;huncholy
hoccer2;hoccer
hookj;hook
hooku;hook
horekidb;horekid
hotbubl;bubl2000
hotbubla;bubl2000
hotshockb;hotshock
hpolym84;hyperspt
hpuncher;fround
hsf2a;hsf2
hsf2d;hsf2
hsf2da;hsf2
hsf2j;hsf2
hsf2j1;hsf2
hthero;footchmp
hthero93;cupfinal
hthero93u;cupfinal
hthero94;intcup94
hthero95;pwrgoal
hthero95u;pwrgoal
hunchbkg;hunchbak
hunchbks;hunchbak
hustlerb;hustler
hvyunitj;hvyunit
hvyunitjo;hvyunit
hvyunitu;hvyunit
hwchampj;hwchamp
hwchampjd;hwchamp
hyperpacb;hyperpac
hypersptb;hyperspt
hyprolym;trackfld
hyprolymb;trackfld
hyprolymba;trackfld
hypsptsp;88games
iganinju;kazan
ikari3j;ikari3
ikari3k;ikari3
ikari3u;ikari3
ikaria;ikari
ikarijp;ikari
ikarijpb;ikari
ikarinc;ikari
ikariram;ikari
imagoa;imago
imgfightj;imgfight
imsorryj;imsorry
insectxj;insectx
inthuntu;inthunt
ironclado;ironclad
jack2;jack
jack3;jack
jackalbl;jackal
jackalj;jackal
jackalr;jackal
jailbrekb;jailbrek
jigkmgri;bonzeadv
jigkmgria;bonzeadv
jjsquawkb;jjsquawk
jjsquawkb2;jjsquawk
jjsquawko;jjsquawk
jockeygpa;jockeygp
joemac;cninja
joemacra;joemacr
joemacrj;joemacr
jojoban;jojoba
jojobane;jojoba
jojobaner1;jojoba
jojobanr1;jojoba
jojobar1;jojoba
jojoj;jojo
jojojr1;jojo
jojojr2;jojo
jojon;jojo
jojonr1;jojo
jojonr2;jojo
jojor1;jojo
jojor2;jojo
joyman;puckman
jrking;dkongjr
jrpacmanf;jrpacman
jt104;ninjakd2
